name,url,keywords
Gyakuhanmi Kokyuho,https://www.youtube.com/watch?v=C4cXvwoLASs,Gyakuhanmi;John Bollinger;Katatedori;Kokyuho;Miscellaneous;Tachi Waza;Tiado
Gyakuhanmi Kaitennage Omote,https://www.youtube.com/watch?v=J_WzSAdwYpE,5th Kyu;Gyakuhanmi;John Bollinger;Kaitennage;Katatedori;Omote;Tachi Waza;Tiado
Gyakuhanmi Kaitennage Omote,https://www.youtube.com/watch?v=uz_HX7XSw_E,5th Kyu;Gyakuhanmi;John Bollinger;Kaitennage;Katatedori;Omote;Tachi Waza;Tiado
Katadori Menuchi Iriminage (Discussion),https://www.youtube.com/watch?v=NlC2jP5ferU,1st Kyu;Iriminage;Jodan;John Bollinger;Katadori Menuchi;Omote;Tachi Waza;Tiado
Katadori Menuchi Iriminage,https://www.youtube.com/watch?v=UAx0uWLzLZ8,1st Kyu;Iriminage;Jodan;John Bollinger;Katadori Menuchi;Omote;Tachi Waza;Tiado
Gyakuhanmi Iriminage,https://www.youtube.com/watch?v=9uhFT_mfjgw,3rd Kyu;Gyakuhanmi;Iriminage;Jodan;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Gyakuhanmi Iriminage,https://www.youtube.com/watch?v=hH21Xdivvo0,3rd Kyu;Gyakuhanmi;Iriminage;Jodan;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Aihanmi Iriminage,https://www.youtube.com/watch?v=BewVTcwzWY0,4th Kyu;Aihanmi;Iriminage;Jodan;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Aihanmi Iriminage Backstretch,https://www.youtube.com/watch?v=yVsO1Q18u0c,Aihanmi;Iriminage;Jodan;John Bollinger;Katatedori;Miscellaneous;Omote;Tachi Waza;Tiado
Shomenuchi Iriminage,https://www.youtube.com/watch?v=iGUMkvvAW-E,2nd Kyu;Aihanmi;Iriminage;Jodan;John Bollinger;Omote;Shomenuchi;Tachi Waza;Tiado
Katadori Menuchi Ikkyo Ura,https://www.youtube.com/watch?v=yRI3pvVzP1g,1st Kyu;Ikkyo;Jodan;John Bollinger;Katadori Menuchi;Tachi Waza;Tiado;Ura
Gyakuhanmi Katatedori Ikkyo Ura,https://www.youtube.com/watch?v=oSlynDDLxAE,3rd Kyu;Gyakuhanmi;Ikkyo;John Bollinger;Katatedori;Tachi Waza;Tiado;Ura
Gyakuhanmi Katatedori Ikkyo Ura,https://www.youtube.com/watch?v=sk9YHsTBQck,3rd Kyu;Gyakuhanmi;Ikkyo;John Bollinger;Katatedori;Tachi Waza;Tiado;Ura
Gyakuhanmi Ikkyo Omote,https://www.youtube.com/watch?v=Pf2yV0dJuRs,3rd Kyu;Gyakuhanmi;Ikkyo;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Gyakuhanmi Ikkyo Omote,https://www.youtube.com/watch?v=ZxuDokKK2w8,3rd Kyu;Gyakuhanmi;Ikkyo;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Aihanmi Ikkyo Ura,https://www.youtube.com/watch?v=hi2UNIuXzPA,4th Kyu;Aihanmi;Ikkyo;Jodan;John Bollinger;Katatedori;Tachi Waza;Tiado;Ura
Aihanmi Ikkyo Omote (Hip Discussion),https://www.youtube.com/watch?v=X2q80zjRVp8,4th Kyu;Aihanmi;Chudan;Ikkyo;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Aihanmi Ikkyo Omote (Lead Discussion),https://www.youtube.com/watch?v=u3chaPQSO0Y,4th Kyu;Aihanmi;Chudan;Ikkyo;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Aihanmi Ikkyo Tight Spaces,https://www.youtube.com/watch?v=eBMTKWl8NXw,Aihanmi;Chudan;Ikkyo;John Bollinger;Katatedori;Miscellaneous;Omote;Tachi Waza;Tiado
Aihanmi Ikkyo Omote,https://www.youtube.com/watch?v=Z-FwOJQi1_c,4th Kyu;Aihanmi;Chudan;Ikkyo;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Yokomenuchi Gokyo (Discussion),https://www.youtube.com/watch?v=pDZTWgXda3g,2nd Kyu;Gokyo;Gyakuhanmi Entrance;Jodan;John Bollinger;Tachi Waza;Tiado;Ura;Yokomenuchi
Yokomenuchi Gokyo,https://www.youtube.com/watch?v=d9jxteuqlXw,2nd Kyu;Gokyo;Gyakuhanmi Entrance;Jodan;John Bollinger;Tachi Waza;Tiado;Ura;Yokomenuchi
Irimi Discussion,https://www.youtube.com/watch?v=mmoJ59iGyps,General Exercise;John Bollinger;Miscellaneous;Tachi Waza;Tiado
Katadori Menuchi Exercise,https://www.youtube.com/watch?v=xylUslH5CKA,General Exercise;John Bollinger;Katadori Menuchi;Miscellaneous;Tachi Waza;Tiado
Suwariwaza Shomenuchi Iriminage,https://www.youtube.com/watch?v=7sW00HvCMBg,3rd Kyu;Aihanmi;Iriminage;Jodan;John Bollinger;Omote;Shomenuchi;Suwari Waza;Suwariwaza
Gyakuhanmi Tsuki Kotegaeshi (Discussion),https://www.youtube.com/watch?v=T7U_8SB9ueY,Gyakuhanmi;Jodan;John Bollinger;Katatedori;Kotegaeshi;Miscellaneous;Oyo;Tachi Waza;Ura
Tsuki Kotegaeshi,https://www.youtube.com/watch?v=aREff-Q21lI,Gyakuhanmi;Jodan;John Bollinger;Katatedori;Kotegaeshi;Miscellaneous;Oyo;Tachi Waza;Ura
Gyakuhanmi Oyo Kaitennage,https://www.youtube.com/watch?v=ZVBP0_IDFec,Gyakuhanmi;John Bollinger;Kaitennage;Katatedori;Miscellaneous;Omote;Oyo;Tachi Waza
Tsuki Iriminage (Entrance Discussion),https://www.youtube.com/watch?v=gwN8H4sfJEc,Gyakuhanmi;Iriminage;Jodan;John Bollinger;Miscellaneous;Omote;Oyo;Tachi Waza;Tsuki
Tsuki Iriminage (Blending Discussion),https://www.youtube.com/watch?v=iqjPaxaiYf4,Gyakuhanmi;Iriminage;Jodan;John Bollinger;Miscellaneous;Omote;Oyo;Tachi Waza;Tsuki
Tsuki Iriminage (Position Discussion),https://www.youtube.com/watch?v=U2SRRn31AIg,Gyakuhanmi;Iriminage;Jodan;John Bollinger;Miscellaneous;Omote;Oyo;Tachi Waza;Tsuki
Tsuki Iriminage,https://www.youtube.com/watch?v=0UFoBDssomg,Gyakuhanmi;Iriminage;Jodan;John Bollinger;Miscellaneous;Omote;Oyo;Tachi Waza;Tsuki
Tsuki Iriminage,https://www.youtube.com/watch?v=LQFSfg8dUHk,Gyakuhanmi;Iriminage;Jodan;John Bollinger;Miscellaneous;Omote;Oyo;Tachi Waza;Tsuki
Tsuki Ikkyo Ura,https://www.youtube.com/watch?v=xIc2J7ukjOw,Aihanmi;Ikkyo;Jodan;John Bollinger;Katatedori;Miscellaneous;Oyo;Tachi Waza;Ura
Tsuki Ikkyo Ura,https://www.youtube.com/watch?v=2KThpahtC6w,Aihanmi;Ikkyo;Jodan;John Bollinger;Katatedori;Miscellaneous;Oyo;Tachi Waza;Ura
Kotegaeshi Knife Takeaway,https://www.youtube.com/watch?v=5JRfSq1J8bQ,Aihanmi;Jodan;John Bollinger;Katatedori;Kotegaeshi;Miscellaneous;Other;Tachi Waza;Ura
Jo Kata 2,https://www.youtube.com/watch?v=LxZiYiVTdoE,2nd Kyu;Jo Kata;John Bollinger;Other
Jo Kata 2,https://www.youtube.com/watch?v=bEx3dfiopfg,2nd Kyu;Jo Kata;John Bollinger;Other
Jo Kata 1 Right Side,https://www.youtube.com/watch?v=Ak0Tr9-PFtI,4th Kyu;Jo Kata;John Bollinger;Other
Jo Kata 1 Both Sides,https://www.youtube.com/watch?v=OAiSs3CKzPo,3rd Kyu;Jo Kata;John Bollinger;Other
Hiji Kata Right Side,https://www.youtube.com/watch?v=ttEQ3uBch_E,5th Kyu;Hiji Kata;John Bollinger;Other
Hiji Kata Both Sides,https://www.youtube.com/watch?v=EjWTPWkA0aw,4th Kyu;Hiji Kata;John Bollinger;Other
Bokken Suburi,https://www.youtube.com/watch?v=lgCipmB-7fE,5th Kyu;Bokken Suburi;John Bollinger;Other
